,201907,201908,201909,201910,201911,201912,202001,202002,,channel/Time,201907,201908,201909,201910,201911,201912,202001,202002
facebook,9959,9819,6105,9449,12949,9262,6277,7968,,facebook,9000,13000,10500,17000,23000,16000,11000,14000
bing,116,71,84,85,102,28,171,300,,bing,400,900,1000,1100,1300,300,2100,3700
display,44,74,12,50,89,112,529,336,,display,12,20,13,19,29,31,148,94
search,1320,1927,1841,2322,2498,3748,4047,4273,,search,13000,18500,19000,24000,25000,38000,41000,44000
youtube,8,15,2,11,47,75,370,205,,youtube,90,180,100,130,550,900,4360,2420
,,,,,,,,,,,,,,,,,,
,9959,6105,6277,9819,7968,9262,9449,12949,,,9000,10500,11000,13000,14000,16000,17000,23000
,28,116,71,84,85,102,171,300,,,300,400,900,1000,1100,1300,2100,3700
,44,12,50,74,89,112,336,529,,,12,13,19,20,29,31,94,148
,1320,1927,1841,2322,2498,3748,4047,4273,,,13000,18500,19000,24000,25000,38000,41000,44000
,8,2,11,15,47,75,205,370,,,90,100,130,180,550,900,2420,4360
,,,,,,,,,,,,,,,,,,
averageCAC,,,,,,,,,,marginalCAC,,,,,,,,
facebook,0.90,1.72,1.75,1.32,1.76,1.73,1.80,1.78,,facebook,0.90,-0.39,2.91,0.56,-0.54,1.55,5.35,1.71
bing,10.71,3.45,12.68,11.90,12.94,12.75,12.28,12.33,,bing,10.71,1.14,-11.11,7.69,100.00,11.76,11.59,12.40
display,0.27,1.08,0.38,0.27,0.33,0.28,0.28,0.28,,display,0.27,-0.03,0.16,0.04,0.60,0.09,0.28,0.28
search,9.85,9.60,10.32,10.34,10.01,10.14,10.13,10.30,,search,9.85,9.06,-5.81,10.40,5.68,10.40,10.03,13.27
youtube,11.25,50.00,11.82,12.00,11.70,12.00,11.80,11.78,,youtube,11.25,-1.67,3.33,12.50,11.56,12.50,11.69,11.76
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,201907,201908,201909,201910,201911,201912,202001,202002,,channel/Time,201907,201908,201909,201910,201911,201912,202001,202002
facebook,14451,15399,11702,13418,16930,13394,10157,11809,,facebook,9000,13000,10500,17000,23000,16000,11000,14000
search,536,786,783,853,864,1032,1151,1344,,search,13000,18500,19000,24000,25000,38000,41000,44000
youtube,85,264,209,274,312,245,725,546,,youtube,90,180,100,130,550,900,4360,2420
,,,,,,,,,,,,,,,,,,
,14451,11702,10157,15399,11809,13394,13418,16930,,,9000,10500,11000,13000,14000,16000,17000,23000
,536,786,783,853,864,1032,1151,1344,,,13000,18500,19000,24000,25000,38000,41000,44000
,85,209,274,264,312,245,546,725,,,90,100,130,180,550,900,2420,4360
,,,,,,,,,,,,,,,,,,
averageCAC,,,,,,,,,,marginalCAC,,,,,,,,
facebook,0.62,0.90,1.08,0.84,1.19,1.19,1.27,1.36,,facebook,0.62,-0.55,-0.32,0.38,-0.28,1.26,41.67,1.71
search,24.25,23.54,24.27,28.14,28.94,36.82,35.62,32.74,,search,24.25,22.00,-166.67,71.43,90.91,77.38,25.21,15.54
youtube,1.06,0.48,0.47,0.68,1.76,3.67,4.43,6.01,,youtube,1.06,0.08,0.46,-5.00,7.71,-5.22,5.05,10.84
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Compare,,,,,,,,,,,,,,,,,,
Facebook,9000,10500,11000,13000,14000,16000,17000,23000,,,,,,,,,,
Important Interaction ,0.62,-0.55,-0.32,0.38,-0.28,1.26,41.67,1.71,,,,,,,,,,
Last Interaction ,0.9,-0.39,2.91,0.56,-0.54,1.55,5.35,1.71,,,,,,,,,,
Search,13000,18500,19000,24000,25000,38000,41000,44000,,,,,,,,,,
Important Interaction ,24.25,22,-166.67,71.43,90.91,77.38,25.21,15.54,,,,,,,,,,
Last Interaction ,9.85,9.06,-5.81,10.4,5.68,10.4,10.03,13.27,,,,,,,,,,
YouTube,90,100,130,180,550,900,2420,4360,,,,,,,,,,
Important Interaction ,1.06,0.08,0.46,-5,7.71,-5.22,5.05,10.84,,,,,,,,,,
Last Interaction ,11.25,-1.67,3.33,12.5,11.56,12.5,11.69,11.76,,,,,,,,,,
